TIME             CONTAINER_ID  UID    COMM             PID/host        TID/host        RET              EVENT                ARGS
07:50:51:252148  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/types/registry, mode: 511
07:50:51:252505  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/types/strslice, mode: 511
07:50:51:252641  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/types/swarm, mode: 511
07:50:51:253213  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/types/swarm/runtime, mode: 511
07:50:51:254275  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/types/time, mode: 511
07:50:51:255571  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/types/versions, mode: 511
07:50:51:255754  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/types/versions/v1p19, mode: 511
07:50:51:255840  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/types/versions/v1p20, mode: 511
07:50:51:255919  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/types/volume, mode: 511
07:50:51:257086  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /builder, mode: 511
07:50:51:257125  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /builder/builder-next, mode: 511
07:50:51:257158  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /builder/builder-next/adapters, mode: 511
07:50:51:257191  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /builder/builder-next/adapters/containerimage, mode: 511
07:50:51:257813  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /builder/builder-next/adapters/localinlinecache, mode: 511
07:50:51:257914  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /builder/builder-next/adapters/snapshot, mode: 511
07:50:51:258540  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /builder/builder-next/exporter, mode: 511
07:50:51:259571  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /builder/builder-next/imagerefchecker, mode: 511
07:50:51:259720  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /builder/builder-next/worker, mode: 511
07:50:51:260358  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /builder/depbuilder, mode: 511
07:50:51:262702  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /builder/dockerfile, mode: 511
07:50:51:265877  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /builder/remotecontext, mode: 511
07:50:51:266686  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /builder/remotecontext/git, mode: 511
07:50:51:269484  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /builder/remotecontext/urlutil, mode: 511
07:50:51:269669  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /cli, mode: 511
07:50:51:269755  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /cli/config, mode: 511
07:50:51:269835  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /cli/debug, mode: 511
07:50:51:270245  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /cli/winresources, mode: 511
07:50:51:270375  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /cli/winresources/docker-proxy, mode: 511
07:50:51:272069  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /cli/winresources/dockerd, mode: 511
07:50:51:272235  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /client, mode: 511
07:50:51:291188  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /client/testdata, mode: 511
07:50:51:292972  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /cmd, mode: 511
07:50:51:293010  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /cmd/docker-proxy, mode: 511
07:50:51:293532  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /cmd/dockerd, mode: 511
07:50:51:296567  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /cmd/dockerd/trap, mode: 511
07:50:51:296603  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /cmd/dockerd/trap/testfiles, mode: 511
07:50:51:296786  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /container, mode: 511
07:50:51:298519  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /container/stream, mode: 511
07:50:51:299508  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib, mode: 511
07:50:51:299577  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/apparmor, mode: 511
07:50:51:299707  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/busybox, mode: 511
07:50:51:300272  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /contrib/docker-device-tool, mode: 511
